mapmaker_name,mapmaker_id,map_or_book_id,country,city,date
Abraham Ortelius,1.0,C[],Belgium,Antwerp,1573
Peter Apian,7.0,E,Belgium,Antwerp,1573
Philipp Apian,8.0,2.8,Belgium,Antwerp,1573
Gemma Frisius,29.0,A,Belgium,Antwerp,1573
Giacomo Gastaldi,30.0,105.1,Belgium,Antwerp,1573
Giacomo Gastaldi,30.0,107.1,Belgium,Antwerp,1573
Agostino Giustiniani,34.0,1.3,Belgium,Antwerp,1573
Wolfgang Lazius,49.0,21.2,Belgium,Antwerp,1573
Wolfgang Lazius,49.0,22.1,Belgium,Antwerp,1573
Wolfgang Lazius,49.0,25.1,Belgium,Antwerp,1573
Humphrey Lhuyd,50.0,1.1,Belgium,Antwerp,1573
Humphrey Lhuyd,50.0,3.1,Belgium,Antwerp,1573
Johannes Mellinger,55.0,1.1,Belgium,Antwerp,1573
Abraham Ortelius,1.0,B,Belgium,Antwerp,1574
Peter Apian,7.0,E,Belgium,Antwerp,1574
Gemma Frisius,29.0,A,Belgium,Antwerp,1574
Gerard Mercator,56.0,17.1,Belgium,Antwerp,1574
Johann Sambucus,65.0,L,Belgium,Antwerp,1574
Peter Apian,7.0,E,Belgium,Antwerp,1575
Gemma Frisius,29.0,A,Belgium,Antwerp,1575
Charles de l'Escluse,26.0,B,Belgium,Antwerp,1576
Nicolas de Nicolay · 435,59.0,E.1,Belgium,Antwerp,1576
Abraham Ortelius,1.0,E[],Belgium,Antwerp,1577
Jean Chaumeau,19.0,1.2,Belgium,Antwerp,1577
Martin Helwig,38.0,1.11,Belgium,Antwerp,1577
Anthony Jenkinson,43.0,1.5,Belgium,Antwerp,1577
Godfried Mascop · 367,54.0,1.2,Belgium,Antwerp,1577
Sebastian Rotenhan · 453,64.0,1.6,Belgium,Antwerp,1577
Aegidius Tschudi · 547 25,78.0,1.13,Belgium,Antwerp,1577
Abraham Ortelius,1.0,F[],Belgium,Antwerp,1578
Abraham Ortelius,1.0,1.2,Belgium,Antwerp,1578
Philipp Apian,8.0,2.9,Belgium,Antwerp,1578
