mapmaker_id,first_ed_map,country,city,date
13,104,Italy,Venice,1528
13,105,Italy,Venice,1528
13,106,Italy,Venice,1528
13,107,Italy,Venice,1528
13,108,Italy,Venice,1528
13,109,Italy,Venice,1528
13,110,Italy,Venice,1528
13,111,Italy,Venice,1528
13,112,Italy,Venice,1528
13,113,Italy,Venice,1528
33,0,Italy,Venice,1530
87,8,Italy,Venice,1538
87,7,Italy,Venice,1538
53,1,Italy,Venice,1539
21,0,Italy,Venice,1540
30,1,Italy,Venice,1544
30,2,Italy,Venice,1545
87,10,Italy,Venice,1545
87,11,Italy,Venice,1545
30,3,Italy,Venice,1546
30,4,Italy,Venice,1546
33,5,Italy,Venice,1546
87,13,Italy,Venice,1546
10,11,Italy,Venice,1550
30,65,Italy,Venice,1550
30,67,Italy,Venice,1550
30,68,Italy,Venice,1550
30,72,Italy,Venice,1550
60,1,Italy,Venice,1551
30,70,Italy,Venice,1552
51,4,Italy,Venice,1554
30,76,Italy,Venice,1555
30,78,Italy,Venice,1556
30,79,Italy,Venice,1556
30,80,Italy,Venice,1556
30,81,Italy,Venice,1556
30,82,Italy,Venice,1556
30,83,Italy,Venice,1556
79,54,Italy,Venice,1557
85,1,Italy,Venice,1557
30,85,Italy,Venice,1559
30 ,86,Italy,Venice,1559
30,12,Italy,Venice,1559
33,11,Italy,Venice,1559
87,14,Italy,Venice,1559
30,87,Italy,Venice,1560
30,88,Italy,Venice,1560
30,89,Italy,Venice,1560
30,90,Italy,Venice,1561
30,91,Italy,Venice,1561
30,92,Italy,Venice,1561
30,93,Italy,Venice,1561
30,96,Italy,Venice,1562
30,97,Italy,Venice,1562
30,103,Italy,Venice,1564
30,105,Italy,Venice,1567
30,106,Italy,Venice,1567
30,107,Italy,Venice,1568
30,108,Italy,Venice,1568
30,103,Italy,Venice,1570
30,107,Italy,Venice,1571
